あ,a,,,,
い,i,yi,,,
う,u,wu,whu,,
え,e,,,,
お,o,,,,
うぁ,wha,uxa,,,
うぃ,whi,wi,uxi,,
うぇ,whe,we,uxe,,
うぉ,who,uxo,,,
ゐ,wi,,,,
ゑ,we,,,,
か,ka,ca,,,
き,ki,,,,
く,ku,cu,qu,,
け,ke,,,,
こ,ko,co,,,
きゃ,kya,kixya,,,
きぃ,kyi,kixi,,,
きゅ,kyu,kixyu,,,
きぇ,kye,kixe,,,
きょ,kyo,kixyo,,,
くゃ,qya,kuxya,,,
くゅ,qyu,kuxyu,,,
くょ,qyo,kuxyo,,,
くぁ,qwa,qa,kwa,kuxa,
くぃ,qwi,qi,qyi,kuxi,
くぅ,qwu,kuxu,,,
くぇ,qwe,qe,qye,kuxe,
くぉ,qwo,qo,kuxo,,
が,ga,,,,
ぎ,gi,,,,
ぐ,gu,,,,
げ,ge,,,,
ご,go,,,,
ぎゃ,gya,gixya,,,
ぎぃ,gyi,gixi,,,
ぎゅ,gyu,gixyu,,,
ぎぇ,gye,gixe,,,
ぎょ,gyo,gixyo,,,
ぐぁ,gwa,guxa,,,
ぐぃ,gwi,guxi,,,
ぐぅ,gwu,guxu,,,
ぐぇ,gwe,guxe,,,
ぐぉ,gwo,guxo,,,
ヵ,lka,xka,,,
ヶ,lke,xke,,,
さ,sa,,,,
し,si,ci,shi,,
す,su,,,,
せ,se,ce,,,
そ,so,,,,
しゃ,sya,sha,sixya,shixya,
しぃ,syi,sixi,shixi,,
しゅ,syu,shu,sixyu,shixyu,
しぇ,sye,she,sixe,shixe,
しょ,syo,sho,sixyo,shixyo,
すぁ,swa,suxa,,,
すぃ,swi,suxi,,,
すぅ,swu,suxu,,,
すぇ,swe,suxe,,,
すぉ,swo,suxo,,,
ざ,za,,,,
じ,ji,zi,,,
ず,zu,,,,
ぜ,ze,,,,
ぞ,zo,,,,
じゃ,ja,zya,jya,jixya,
じぃ,zyi,jyi,jixi,,
じゅ,ju,zyu,jyu,jixyu,
じぇ,je,zye,jye,jixe,
じょ,jo,zyo,jyo,jixyo,
た,ta,,,,
ち,ti,chi,,,
つ,tu,tsu,,,
て,te,,,,
と,to,,,,
ちゃ,tya,cha,cya,tixya,chixya
ちぃ,tyi,cyi,tixi,chixi,
ちゅ,tyu,chu,cyu,tixyu,chixyu
ちぇ,tye,che,cye,tixe,chixe
ちょ,tyo,cho,cyo,tixyo,chixyo
つぁ,tsa,tuxa,tsuxa,,
つぃ,tsi,tuxi,tsuxi,,
つぇ,tse,tuxe,tsuxe,,
つぉ,tso,tuxo,tsuxo,,
てゃ,tha,texya,,,
てぃ,thi,texi,,,
てゅ,thu,texyu,,,
てぇ,the,texe,,,
てょ,tho,texyo,,,
とぁ,twa,toxa,,,
とぃ,twi,toxi,,,
とぅ,twu,toxu,,,
とぇ,twe,toxe,,,
とぉ,two,toxo,,,
だ,da,,,,
ぢ,di,,,,
づ,du,,,,
で,de,,,,
ど,do,,,,
ぢゃ,dya,dixya,,,
ぢぃ,dyi,dixi,,,
ぢゅ,dyu,dixyu,,,
ぢぇ,dye,dixe,,,
ぢょ,dyo,dixyo,,,
でゃ,dha,dexya,,,
でぃ,dhi,dexi,,,
でゅ,dhu,dexyu,,,
でぇ,dhe,dexe,,,
でょ,dho,dexyo,,,
どぁ,dwa,doxa,,,
どぃ,dwi,doxi,,,
どぅ,dwu,doxu,,,
どぇ,dwe,doxe,,,
どぉ,dwo,doxo,,,
っ,ltu,xtu,ltsu,,
な,na,,,,
に,ni,,,,
ぬ,nu,,,,
ね,ne,,,,
の,no,,,,
にゃ,nya,nixya,,,
にぃ,nyi,nixi,,,
にゅ,nyu,nixyu,,,
にぇ,nye,nixe,,,
にょ,nyo,nixyo,,,
は,ha,,,,
ひ,hi,,,,
ふ,hu,fu,,,
へ,he,,,,
ほ,ho,,,,
ひゃ,hya,hixya,,,
ひぃ,hyi,hixi,,,
ひゅ,hyu,hixyu,,,
ひぇ,hye,hixe,,,
ひょ,hyo,hixyo,,,
ふぁ,fwa,fa,huxa,fuxa,
ふぃ,fwi,fi,fyi,huxi,fuxi
ふぅ,fwu,huxu,fuxu,,
ふぇ,fwe,fe,fye,huxe,fuxe
ふぉ,fwo,fo,huxo,fuxo,
ふゃ,fya,huxya,fuxya,,
ふゅ,fyu,huxyu,fuxyu,,
ふょ,fyo,huxyo,fuxyo,,
ば,ba,,,,
び,bi,,,,
ぶ,bu,,,,
べ,be,,,,
ぼ,bo,,,,
びゃ,bya,bixya,,,
びぃ,byi,bixi,,,
びゅ,byu,bixyu,,,
びぇ,bye,bixe,,,
びょ,byo,bixyo,,,
ヴぁ,va,vuxa,,,
ヴぃ,vi,vuxi,,,
ヴ,vu,,,,
ヴぇ,ve,vuxe,,,
ヴぉ,vo,vuxo,,,
ヴゃ,vya,vuxya,,,
ヴゅ,vyu,vuxyu,,,
ヴぇ,vye,,,,
ヴょ,vyo,vuxyo,,,
ぱ,pa,,,,
ぴ,pi,,,,
ぷ,pu,,,,
ぺ,pe,,,,
ぽ,po,,,,
ぴゃ,pya,pixya,,,
ぴぃ,pyi,pixi,,,
ぴゅ,pyu,pixyu,,,
ぴぇ,pye,pixe,,,
ぴょ,pyo,pixyo,,,
ま,ma,,,,
み,mi,,,,
む,mu,,,,
め,me,,,,
も,mo,,,,
みゃ,mya,mixya,,,
みぃ,myi,mixi,,,
みゅ,myu,mixyu,,,
みぇ,mye,mixe,,,
みょ,myo,mixyo,,,
や,ya,,,,
ゆ,yu,,,,
よ,yo,,,,
ゃ,lya,xya,,,
ゅ,lyu,xyu,,,
ょ,lyo,xyo,,,
ら,ra,,,,
り,ri,,,,
る,ru,,,,
れ,re,,,,
ろ,ro,,,,
りゃ,rya,rixya,,,
りぃ,ryi,rixi,,,
りゅ,ryu,rixyu,,,
りぇ,rye,rixe,,,
りょ,ryo,rixyo,,,
わ,wa,,,,
を,wo,,,,
ん,nn,n,,,
ゎ,lwa,xwa,,,
ー,-,,,,
